teacher,score,link,name,views
,,http://www.maiziedu.com/lps2/learning/plan/128/,,
,,http://www.maiziedu.com/lps2/learning/plan/9/,,
,,http://www.maiziedu.com/lps2/learning/plan/4/,,
,,http://www.maiziedu.com/lps2/learning/plan/13/,,
Riva,"5.0,0",http://www.maiziedu.com/course/ui/424-6933/,快速提升UI设计能力,"已有4878位同学与你并肩作战,
                            
                        "
,,http://www.maiziedu.com/lps2/learning/plan/1/,,
,,http://www.maiziedu.com/lps2/learning/plan/14/,,
,,http://www.maiziedu.com/lps2/learning/plan/15/,,
朱朝兵,"5.0,0",http://www.maiziedu.com/course/java/352-3832/,Web前端开发之HTML5+CSS3快速入门,"已有7412位同学与你并肩作战,
                            
                        "
朱朝兵,"3.5,0",http://www.maiziedu.com/course/python/301-2693/,html5+css3,"已有9950位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
,,http://www.maiziedu.com/lps2/learning/plan/126/,,
,,http://www.maiziedu.com/lps2/learning/plan/6/,,
李毅,"4.0,0",http://www.maiziedu.com/course/python/305-2776/,ajax入门,"已有3448位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
李毅,"4.9,0",http://www.maiziedu.com/course/php/335-5973/,Mysql进阶,"已有5311位同学与你并肩作战,
                            
                        "
Cynthia,"4.6,0",http://www.maiziedu.com/course/python/311-8229/,django缓存优化,"已有2939位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
孙宏颖,"4.2,0",http://www.maiziedu.com/course/ui/590-8791/,网页界面设计,"已有2974位同学与你并肩作战,
                            
                        "
Haorooms,"4.6,0",http://www.maiziedu.com/course/web/513-6974/,移动前端开发项目,"已有7057位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
李毅,"3.4,0",http://www.maiziedu.com/course/php/328-3289/,ajax入门,"已有2318位同学与你并肩作战,
                            
                        "
胡明星,"4.8,0",http://www.maiziedu.com/course/python/309-6159/,项目实战：Django个人博客系统,"已有12906位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
张朋飞,"4.4,0",http://www.maiziedu.com/course/iot/98-6709/,物联网之ucos操作系统基础,"已有1776位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
阿驹,"4.6,0",http://www.maiziedu.com/course/python/544-7968/,django项目实战之购物系统,"已有5270位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
黄向昂,"4.3,0",http://www.maiziedu.com/course/python/310-8203/,django项目部署,"已有2395位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
King.H,"5.0,0",http://www.maiziedu.com/course/python/581-8365/,Javascript 进阶,"已有2020位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
马小陆,"4.8,0",http://www.maiziedu.com/course/qrsqd/592-9033/,Linux进程间通信 ,"已有4512位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
刘慧涛,"4.9,0",http://www.maiziedu.com/course/web/304-6146/,bootstrap入门,"已有18287位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
邓强,"5.0,0",http://www.maiziedu.com/course/te/429-5568/,HTTP协议详解,"已有3834位同学与你并肩作战,
                            
                        "
彭亮,"5.0,0",http://www.maiziedu.com/course/python/572-8104/,深度学习进阶：算法与应用,"已有4982位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
魏畅然,"4.0,0",http://www.maiziedu.com/course/java/354-3655/,Web前端开发之jQuery入门课程,"已有3435位同学与你并肩作战,
                            
                        "
原国军,"5.0,0",http://www.maiziedu.com/course/qrsqd/480-6207/,C++面试题,"已有3270位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
魏杰,"4.2,0",http://www.maiziedu.com/course/qrsqd/478-6055/,Linux多线程编程,"已有7715位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
黄喆,"4.6,0",http://www.maiziedu.com/course/pm/103-860/,互联网发展和基础,"已有7524位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
邓强,"5.0,0",http://www.maiziedu.com/course/te/428-5560/,理解网络协议,"已有3068位同学与你并肩作战,
                            
                        "
黄喆,"4.6,0",http://www.maiziedu.com/course/pm/107-890/,互联网思维,"已有18269位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
AlanWan,"4.6,0",http://www.maiziedu.com/course/python/458-7430/,Python网络爬虫实战-Scrapy,"已有9029位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
彭亮,"5.0,0",http://www.maiziedu.com/course/python/373-3811/,深度学习基础介绍-机器学习,"已有11748位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
孙杰老师,"4.7,0",http://www.maiziedu.com/course/iot/566-8719/,电子基础元器件,"已有3151位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
胡敏,"5.0,0",http://www.maiziedu.com/course/web/533-7489/,利用Sass编写高质量CSS,"已有2581位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
迟焕,"5.0,0",http://www.maiziedu.com/course/ui/589-8548/,Ps应用实例,"已有2636位同学与你并肩作战,
                            
                        "
丁敬香,"4.5,0",http://www.maiziedu.com/course/python/573-8456/,Python 数据库编程,"已有2751位同学与你并肩作战,
                            
                            更多学习交流，请加：,
                            
                        "
King.H,"3.7,0",http://www.maiziedu.com/course/java/582-8396/,Javascript 进阶,"已有3670位同学与你并肩作战,
                            
                        "
